target,feature,sense,type,zone
15.482285659967078,14220020711,>=,absolute,NA
5.503113404448208,14220020713,>=,absolute,NA
0.3312920408722147,14220020716,>=,absolute,NA
0.23464581838068663,14220020722,>=,absolute,NA
60.98322175114169,14220020724,>=,absolute,NA
5.7101646090305325,14220020726,>=,absolute,NA
55.7677723743449,14220020912,>=,absolute,NA
15.449303399734434,14220020913,>=,absolute,NA
0.6610872416142602,14220021105,>=,absolute,NA
60.58973175582679,14220021114,>=,absolute,NA
9.74615830377616,14220021124,>=,absolute,NA
4.151718495819536,14220021127,>=,absolute,NA
22.493566092253825,14220021224,>=,absolute,NA
4.480551112077796,14220120101,>=,absolute,NA
8.869979964192162,14220120106,>=,absolute,NA
9.74469649041902,14220120109,>=,absolute,NA
47.7871513995232,14220120111,>=,absolute,NA
6.939823349318863,14220120116,>=,absolute,NA
0.513430373780945,14220120402,>=,absolute,NA
20.792805610461745,14220120406,>=,absolute,NA
90.59932512237944,14220120409,>=,absolute,NA
522.7893033975798,14220120411,>=,absolute,NA
7.362611748910657,14220120423,>=,absolute,NA
0.2802520923818833,14220120701,>=,absolute,NA
5.831046112142903,14220120702,>=,absolute,NA
126.43693930700891,14220120706,>=,absolute,NA
498.593009811136,14220120711,>=,absolute,NA
14.361913491011052,14220120716,>=,absolute,NA
2.1360735002479925,14220120718,>=,absolute,NA
322.98173741402496,14220120909,>=,absolute,NA
155.3993640438611,14220120911,>=,absolute,NA
134.59979260177906,14220120916,>=,absolute,NA
80.91238103903228,14220120923,>=,absolute,NA
2.938485033335124,14251870101,>=,absolute,NA
0.4426059531105688,14251870122,>=,absolute,NA
0.03590784807900381,14251870126,>=,absolute,NA
1.5841351228267158,14251870127,>=,absolute,NA
5.92708240856295,14251870402,>=,absolute,NA
69.03585712923025,14251870406,>=,absolute,NA
6.177196495206966,14251870407,>=,absolute,NA
66.68055728123704,14251870421,>=,absolute,NA
45.53087752852536,14251870608,>=,absolute,NA
220.74215006094963,14251870610,>=,absolute,NA
29.440195205022007,14251870617,>=,absolute,NA
14.586995164139914,14251870619,>=,absolute,NA
194.73673792590603,14251870625,>=,absolute,NA
8.118910338061836,14251870701,>=,absolute,NA
2.366029615460639,14251870705,>=,absolute,NA
72.41136051130265,14251870706,>=,absolute,NA
12.78967444827527,14251870707,>=,absolute,NA
5.879597796970618,14251870713,>=,absolute,NA
