pu,nuts2id,EU_id
2828,216,619
2829,216,620
2830,216,621
2831,216,622
2832,216,623
2833,216,624
2834,216,625
2835,216,626
2836,216,627
2837,216,628
2838,216,629
2839,216,630
2840,216,631
2841,216,632
2842,216,633
2843,216,634
2844,216,635
2845,216,636
2846,216,637
2847,216,638
2848,97,639
2849,97,640
2850,97,641
2851,97,642
2852,97,643
2853,97,644
2854,97,645
2855,97,646
2856,97,647
2857,97,648
2858,97,649
2859,97,650
2860,97,651
2861,97,652
2862,97,653
2863,97,654
2864,97,655
2865,97,656
2866,97,657
2867,97,658
2868,97,659
2869,97,660
2870,97,661
2871,97,662
2872,97,663
2873,97,664
2936,216,665
2937,216,666
2938,216,667
2939,216,668
2940,216,669
2941,216,670
2942,216,671
2943,216,672
2944,216,673
2945,216,674
2946,216,675
2947,216,676
2948,216,677
2949,216,678
2950,216,679
2951,216,680
2952,216,681
2953,216,682
2954,216,683
2955,216,684
2956,216,685
2957,216,686
2958,216,687
2959,216,688
2960,97,689
2961,97,690
2962,97,691
2963,97,692
2964,97,693
2965,97,694
2966,97,695
2967,97,696
2968,97,697
2969,97,698
2970,97,699
2971,97,700
2972,97,701
2973,97,702
2974,97,703
2975,97,704
2976,97,705
2977,97,706
2978,97,707
2979,97,708
2980,97,709
2981,97,710
2982,97,711
2983,97,712
2984,97,713
2985,97,714
3049,216,715
3050,216,716
3051,216,717
3052,216,718
3053,216,719
3054,216,720
3055,216,721
3056,216,722
3057,216,723
3058,216,724
3059,216,725
3060,216,726
3061,216,727
3062,216,728
3063,216,729
3064,216,730
3065,216,731
3066,216,732
3067,216,733
3068,216,734
3069,216,735
3070,216,736
3071,216,737
3072,216,738
3073,216,739
3074,216,740
3075,216,741
3076,97,742
3077,97,743
3078,97,744
3079,97,745
3080,97,746
3081,97,747
3082,97,748
3083,97,749
3084,97,750
3085,97,751
3086,97,752
3087,97,753
3088,97,754
3089,97,755
3090,97,756
3091,97,757
3092,97,758
3093,97,759
3094,97,760
