pu,diff
127,0.009717016779184573
128,0.012742125455588393
129,0.0033245700178667903
130,0.005078585352748632
131,0.011055077717173845
132,0.011396595829864964
133,0.011805946342064999
134,0.011023807863239199
135,0.009308187291026115
136,0.01107974772324738
137,0.011373566230759025
138,0.009061309399839956
139,0.010277313522237819
140,0.012016763788778917
141,0.013447372446535155
142,0.002892429009079933
143,0.003803429310210049
144,0.0074290187112637796
145,0.011488677497027311
146,0.011935605871258304
147,0.012552834828966297
148,0.012302809860557318
149,0.013760059635387734
150,0.012801766628399491
151,0.0146854755221284
152,0.013496760948328412
153,0.011375621950183046
154,0.010668555740267038
155,0.012169903609901667
156,0.014807108644163236
157,0.017627888371862355
158,0.003867752617225051
159,0.004776272922754288
160,0.03707576170563698
161,0.03597157169133425
162,0.012606604199390858
163,0.013380591120949248
164,0.0197590155294165
165,0.016598075773799792
166,0.012750201145536377
167,0.016617153072729707
168,0.018693135352805257
169,0.012485460293083617
170,0.013158854795619845
171,0.015247250320499006
172,0.0151192934717983
173,0.013417273323284351
174,0.013426671053364703
175,0.015708847539548598
176,0.005889577383641154
177,0.006713344075251371
178,0.005167384631931782
179,0.00452429847791791
180,0.007234094393001711
181,0.03461780661611935
182,0.016737559265546875
183,0.014926398867828539
184,0.013195963576436043
185,0.021211212319030892
186,0.015139728493522853
187,0.01790593733312562
188,0.017724901670590043
189,0.028093875414924696
190,0.024072504446051246
191,0.01633706030565285
192,0.016772490536870577
193,0.014510293786381467
194,0.013377696588848131
195,0.013820404018470067
196,0.01959069772328803
197,0.015131718195334543
198,0.011953565524891019
199,0.01217243989231065
200,0.007193362844191142
201,0.009024034752656007
202,0.005904314781765452
203,0.006145679799374193
204,0.0282543614248425
205,0.012422821833752096
206,0.011193085287231952
207,0.03189270784059772
208,0.018507760018110275
209,0.01099677849560976
210,0.012569973652716726
211,0.013995592365972698
212,0.01026555709540844
213,0.015779648907482624
214,0.02114668344951698
215,0.021550474976371747
216,0.018101179391774247
217,0.024919698896586517
218,0.01416341483127348
219,0.018368012009887025
220,0.021453926688991487
221,0.014850712296954782
222,0.013495558901922777
223,0.01942815794609487
224,0.01420972400228493
225,0.016270342195639387
226,0.017653168528340757
227,0.010555599350482225
228,0.03697582124732435
229,0.008327182506106645
230,0.0076421566773205996
231,0.03717854846387203
232,0.011124170385301113
233,0.016963638743618503
234,0.019105808372842148
235,0.018843096331693232
236,0.021407069987617433
237,0.019559232518076897
238,0.03747197679695091
239,0.011760513556479113
240,0.01318888223152992
241,0.007210814859718084
242,0.009787109182070708
243,0.013293399662440475
244,0.015961242228513584
245,0.013697686023078859
246,0.010552731284406036
247,0.012796528519697148
248,0.015543719928245991
249,0.020574061200022697
250,0.024385434910072945
251,0.014463200632235385
252,0.026534192575127236
253,0.019562089582905173
254,0.023663954460062087
255,0.012120364379370585
256,0.017672887683147565
257,0.018892171011430148
258,0.012518290271600563
259,0.030580731079596468
260,0.028936157003045082
261,0.0427359219971124
262,0.0349143841303885
263,0.009185430710203946
264,0.014935605693608522
265,0.01964705646969378
266,0.018379169865511358
267,0.013410955611107056
268,0.02095129108056426
269,0.03137972920163634
270,0.012979008566860295
271,0.014776664786040783
272,0.0222405272932783
273,0.01462963200174272
274,0.0210731141269207
275,0.012051753525156528
276,0.010465234285220504
277,0.00767584313871339
278,0.011505331785883754
279,0.010106819332577288
280,0.011531330004800111
281,0.011374794878065586
282,0.011819508708911686
283,0.009067247941857204
284,0.010634728823788464
285,0.030841391009744257
286,0.017172695457702503
287,0.018050686456263065
288,0.02166092104744166
289,0.022210161318071187
290,0.013614325551316253
291,0.014448520261794329
292,0.010451617588842055
293,0.013906853559319643
294,0.017902517917036675
295,0.019296380021842197
296,0.023199531020509312
297,0.018003179363953348
298,0.017175616463646293
299,0.021253768874999968
300,0.034620446735061705
301,0.010588450182694942
302,0.014828740856839273
303,0.017783091403543838
304,0.016135729587404057
305,0.012644050208336921
306,0.00937329279051724
307,0.02402008908459141
308,0.010638174717314541
309,0.00508047710172832
310,0.004309367301175371
311,0.00946884322911501
312,0.017473909645392638
313,0.012259840383194387
314,0.009221140295267105
315,0.009176963125355542
316,0.008628565701656044
317,0.008180480073860963
318,0.008552249852073146
319,0.009446374024264514
320,0.010846281781989542
321,0.01018845264253987
322,0.010186029356191284
323,0.009929143321642186
324,0.011839972576126456
325,0.00913864586618729
326,0.007656625886738766
327,0.012278184438378026
