speciesname,taxon_id
Angelica_heterocarpa,5928331
Discoglossus_galganoi,2426616
Geomalacus_maculosus,4564441
Limonium_lanceolatum,7298058
Omphalodes_littoralis,9600694
Woodwardia_radicans,5275359
Bryoerythrophyllum_campylocarpum,2670513
Centaurea_borjae,3128787
Culcita_macrocarpa,8349980
Dryopteris_corleyi,5654715
Gomphus_graslinii,5051921
Mauremys_leprosa,2443341
Oenanthe_conioides,7443268
Petalophyllum_ralfsii,7940549
Rana_iberica,2426774
Rumex_rupestris,4036610
Soldanella_villosa,4004972
Stylurus_flavipes,5051901
Coleanthus_subtilis,2706035
Dichelyma_capillaceum,2678770
Isoetes_boryana,10808506
Macromia_splendens,1429876
Margaritifera_auricularia,5782525
Margaritifera_durrovensis,7911174
Najas_flexilis,5329315
Caldesia_parnassifolia,5329163
Dytiscus_latissimus,4470292
Eretmochelys_imbricata,8841716
Erignathus_barbatus,2434816
Eubalaena_glacialis,2440339
Globicephala_macrorhynchus,2440605
Globicephala_melas,2440596
Hyperoodon_ampullatus,5220013
Kogia_breviceps,2440694
Lagenodelphis_hosei,2440493
Lepidochelys_kempii,2442165
Mesoplodon_bidens,2440412
Mesoplodon_densirostris,2440403
Mesoplodon_europaeus,2440397
Mesoplodon_mirus,2440417
Monodon_monoceros,5220008
Balaenoptera_acutorostrata,2440728
Pseudorca_crassidens,2440440
Balaenoptera_borealis,2440709
Ziphius_cavirostris,2440369
Balaenoptera_edeni,2440714
Balaenoptera_musculus,2440735
Balaenoptera_physalus,2440718
Lagenorhynchus_albirostris,5220081
Stenella_coeruleoalba,5220055
Marsupella_profunda,5793132
Petrocoptis_grandiflora,3808482
Viola_hispida,5663414
Myomimus_roachi,2439663
Probaticus_subrugosus,4454238
Pelobates_syriacus,2430566
Potentilla_emilii-popii,5369241
Catopta_thrips,4525644
Crambe_tataria,5373485
Lacerta_trilineata,6159197
Mesocricetus_newtoni,2438483
Ophisaurus_apodus,2468350
Erannis_ankeraria,1956627
Arytrura_musculus,1777695
Centaurea_pontica,3128839
Propomacrus_cypriacus,1072120
Linaria_loeselii,8384512
Artemisia_oelandica,8161498
Corydalis_gotlandica,5531607
Primula_nutans,5414318
Moehringia_lateriflora,3085371
Puccinellia_phryganodes,2704674
Xylomoia_strix,1772458
Bryhnia_novae-angliae,2680274
Herzogiella_turfacea,2681914
Arctagrostis_latifolia,2706312
Arctophila_fulva,5290140
Hygrohypnum_montanum,2681567
Cinna_latifolia,2704845
Aldrovanda_vesiculosa,3190715
Najas_tenuissima,5329466
Persicaria_foliosa,4035833
Macroplea_pubipennis,8086854
Alisma_wahlenbergii,2865134
Hippuris_tetraphylla,7939048
Draba_cinerea,3049489
Anthrenochernes_stellae,2127372
Mesosa_myops,8071351
Aradus_angularis,4485547
Agathidium_pulchellum,5747828
Cephalozia_macounii,4276636
Corticaria_planula,4450854
Oxyporus_mannerheimii,7516178
Plagiomnium_drummondii,2677637
Pytho_kolwensis,4457579
Xyletinus_tremulicola,4426238
Pteromys_volans,2437258
Xestia_brunneopicta,8688267
