target,feature,sense,type,zone
2.36372306125304,14291940726,>=,absolute,
0.19328253898351003,14291941105,>=,absolute,
44.70553975190497,14291941114,>=,absolute,
1.662416153820885,14291941124,>=,absolute,
6.265934779101599,14291941127,>=,absolute,
0.7780988063491967,14291941224,>=,absolute,
4.312173679693549,14291990101,>=,absolute,
4.563444471532631,14291990106,>=,absolute,
11.113518215398718,14291990111,>=,absolute,
0.9652539068050515,14291990122,>=,absolute,
0.2860837566433474,14291990126,>=,absolute,
0.573841503701418,14291990127,>=,absolute,
17.09733305445334,14291990406,>=,absolute,
0.282624266250059,14291990411,>=,absolute,
3.6341638592505205,14291990421,>=,absolute,
134.29753691548612,14291990608,>=,absolute,
330.93848365097114,14291990610,>=,absolute,
155.97697563960708,14291990617,>=,absolute,
47.932128575371415,14291990619,>=,absolute,
419.14812993480956,14291990625,>=,absolute,
1.739688085069069,14291990701,>=,absolute,
42.30901542350546,14291990705,>=,absolute,
150.51423287629797,14291990706,>=,absolute,
15.689607191058446,14291990711,>=,absolute,
0,14291990717,>=,absolute,
178.52709655598153,14291990722,>=,absolute,
26.84380328806317,14291990725,>=,absolute,
54.99652135123164,14298760409,>=,absolute,
81.80454412323466,14298760411,>=,absolute,
8.885554038136883,14298760423,>=,absolute,
35.800061207625276,14298760711,>=,absolute,
160.4903581779232,14298760909,>=,absolute,
133.46997654351756,14298760911,>=,absolute,
162.8469859983043,14298760923,>=,absolute,
0.5695197426388342,14302360109,>=,absolute,
13.313601614963082,14302360111,>=,absolute,
6.58653877188117,14302360116,>=,absolute,
0.06567897966306191,14302360402,>=,absolute,
23.854026722854694,14302360409,>=,absolute,
175.6023530191912,14302360411,>=,absolute,
7.256325519020057,14302360423,>=,absolute,
2.717461197101857,14302360702,>=,absolute,
1.8187288620642699,14302360706,>=,absolute,
155.42646020623403,14302360711,>=,absolute,
10.457129490018971,14302360716,>=,absolute,
1.1356375007109951,14302360718,>=,absolute,
139.5833928056972,14302360909,>=,absolute,
65.34326222987065,14302360911,>=,absolute,
33.12856247372186,14302360916,>=,absolute,
119.94911807267519,14302360923,>=,absolute,
18.917237479008897,16839520101,>=,absolute,
33.305663207022455,16839520103,>=,absolute,
11.206015598119654,16839520109,>=,absolute,
65.90967261754915,16839520111,>=,absolute,
16.30050985318947,16839520113,>=,absolute,
54.80381579843913,16839520116,>=,absolute,
72.36447158011518,16839520124,>=,absolute,
6.711383150761372,16839520126,>=,absolute,
45.90134961407765,16839520127,>=,absolute,
73.42981960449822,16839520411,>=,absolute,
10.961000239072705,16839520503,>=,absolute,
5.400586430128771,16839520524,>=,absolute,
34.11334294852886,16839520701,>=,absolute,
243.9686850562131,16839520703,>=,absolute,
12.3960345198948,16839520705,>=,absolute,
76.50532673952465,16839520711,>=,absolute,
17.92071871122724,16839520713,>=,absolute,
129.95776719523,16839520716,>=,absolute,
220.72002184771267,16839520724,>=,absolute,
8.067602646377651,16839520726,>=,absolute,
558.2252446154432,16839520909,>=,absolute,
199.77910998469795,16839520911,>=,absolute,
26.901046561270615,16839520912,>=,absolute,
43.15857155433662,16839520913,>=,absolute,
298.62714375468727,16839520916,>=,absolute,
24.28993470398813,16839520923,>=,absolute,
