pu,nuts2id,BR_ID,EU_id
2565,97,6,494
2566,97,6,495
2567,97,6,496
2568,97,6,497
2569,97,6,498
2570,97,6,499
2571,97,6,500
2572,97,6,501
2573,97,6,502
2574,97,6,503
2575,97,6,504
2576,97,6,505
2577,97,6,506
2578,97,6,507
2579,97,6,508
2580,97,6,509
2581,97,6,510
2582,97,6,511
2583,97,6,512
2584,97,6,513
2585,97,6,514
2621,216,1,515
2622,216,1,516
2623,216,1,517
2624,216,1,518
2625,216,1,519
2626,216,1,520
2627,216,1,521
2628,216,1,522
2629,216,1,523
2630,216,1,524
2631,216,1,525
2632,216,1,526
2633,216,1,527
2634,216,1,528
2635,216,1,529
2636,216,1,530
2637,216,1,531
2638,216,1,532
2639,216,1,533
2640,216,1,534
2641,216,6,535
2642,216,6,536
2643,216,6,537
2644,97,6,538
2645,97,6,539
2646,97,6,540
2647,97,6,541
2648,97,6,542
2649,97,6,543
2650,97,6,544
2651,97,6,545
2652,97,6,546
2653,97,6,547
2654,97,6,548
2655,97,6,549
2656,97,6,550
2657,97,6,551
2658,97,6,552
2659,97,6,553
2660,97,6,554
2661,97,6,555
2662,97,6,556
2663,97,6,557
2664,97,6,558
2665,97,6,559
2666,97,6,560
2667,97,6,561
2668,97,6,562
2669,97,6,563
2670,97,6,564
2671,97,6,565
2717,216,1,566
2718,216,1,567
2719,216,1,568
2720,216,1,569
2721,216,1,570
2722,216,1,571
2723,216,1,572
2724,216,1,573
2725,216,1,574
2726,216,1,575
2727,216,1,576
2728,216,1,577
2729,216,1,578
2730,216,1,579
2731,216,1,580
2732,216,1,581
2733,216,1,582
2734,216,1,583
2735,216,6,584
2736,216,6,585
2737,216,6,586
2738,216,6,587
2739,216,6,588
2740,97,6,589
2741,97,6,590
2742,97,6,591
2743,97,6,592
2744,97,6,593
2745,97,6,594
2746,97,6,595
2747,97,6,596
2748,97,6,597
2749,97,6,598
2750,97,6,599
2751,97,6,600
2752,97,6,601
2753,97,6,602
2754,97,6,603
2755,97,6,604
2756,97,6,605
2757,97,6,606
2758,97,6,607
2759,97,6,608
2760,97,6,609
2761,97,6,610
2762,97,6,611
2763,97,6,612
2764,97,6,613
2765,97,6,614
2766,97,6,615
2825,216,1,616
2826,216,1,617
2827,216,1,618
2828,216,1,619
2829,216,1,620
2830,216,1,621
2831,216,1,622
2832,216,1,623
2833,216,1,624
2834,216,1,625
2835,216,1,626
2836,216,1,627
2837,216,1,628
2838,216,1,629
2839,216,1,630
2840,216,1,631
2841,216,6,632
2842,216,6,633
2843,216,6,634
2844,216,6,635
2845,216,6,636
2846,216,6,637
2847,216,6,638
2848,97,6,639
2849,97,6,640
2850,97,6,641
2851,97,6,642
2852,97,6,643
2853,97,6,644
2854,97,6,645
2855,97,6,646
2856,97,6,647
2857,97,6,648
2858,97,6,649
2859,97,6,650
2860,97,6,651
2861,97,6,652
2862,97,6,653
2863,97,6,654
2864,97,6,655
2865,97,6,656
2866,97,6,657
2867,97,6,658
2868,97,6,659
2869,97,6,660
2870,97,6,661
2871,97,6,662
2872,97,6,663
2873,97,6,664
2936,216,1,665
2937,216,1,666
2938,216,1,667
2939,216,1,668
2940,216,1,669
2941,216,1,670
2942,216,1,671
2943,216,1,672
2944,216,1,673
2945,216,1,674
2946,216,1,675
2947,216,1,676
2948,216,1,677
2949,216,6,678
2950,216,6,679
2951,216,6,680
2952,216,6,681
2953,216,6,682
2954,216,6,683
2955,216,6,684
2956,216,6,685
2957,216,6,686
2958,216,6,687
2959,216,6,688
2960,97,6,689
2961,97,6,690
2962,97,6,691
2963,97,6,692
2964,97,6,693
2965,97,6,694
2966,97,6,695
2967,97,6,696
2968,97,6,697
2969,97,6,698
2970,97,6,699
2971,97,6,700
2972,97,6,701
2973,97,6,702
2974,97,6,703
2975,97,6,704
2976,97,6,705
2977,97,6,706
2978,97,6,707
2979,97,6,708
2980,97,6,709
2981,97,6,710
2982,97,6,711
2983,97,6,712
2984,97,6,713
2985,97,6,714
3049,216,1,715
3050,216,1,716
3051,216,1,717
3052,216,1,718
3053,216,1,719
3054,216,1,720
3055,216,1,721
3056,216,1,722
3057,216,1,723
3058,216,1,724
3059,216,1,725
3060,216,1,726
3061,216,1,727
3062,216,1,728
3063,216,1,729
3064,216,6,730
3065,216,6,731
3066,216,6,732
3067,216,6,733
3068,216,6,734
3069,216,6,735
3070,216,6,736
3071,216,6,737
3072,216,6,738
3073,216,6,739
3074,216,6,740
3075,216,6,741
3076,97,6,742
3077,97,6,743
3078,97,6,744
3079,97,6,745
3080,97,6,746
3081,97,6,747
3082,97,6,748
3083,97,6,749
3084,97,6,750
3085,97,6,751
3086,97,6,752
3087,97,6,753
3088,97,6,754
3089,97,6,755
3090,97,6,756
3091,97,6,757
3092,97,6,758
3093,97,6,759
3094,97,6,760
3095,97,6,761
3096,97,6,762
3097,97,6,763
3098,97,6,764
3099,97,6,765
3100,97,6,766
3101,97,6,767
3156,216,1,768
3157,216,1,769
3158,216,1,770
3159,216,1,771
3160,216,1,772
3161,216,1,773
3162,216,1,774
3163,216,1,775
3164,216,1,776
3165,216,1,777
3166,216,1,778
3167,216,1,779
3168,216,1,780
3169,216,1,781
3170,216,1,782
3171,216,1,783
3172,216,6,784
3173,216,6,785
3174,216,6,786
3175,216,6,787
3176,216,6,788
3177,216,6,789
3178,216,6,790
3179,216,6,791
3180,216,6,792
3181,216,6,793
3182,216,6,794
3183,216,6,795
3184,97,6,796
3185,97,6,797
3186,97,6,798
3187,97,6,799
3188,97,6,800
3189,97,6,801
3190,97,6,802
3191,97,6,803
3192,97,6,804
3193,97,6,805
3194,97,6,806
3195,97,6,807
3196,97,6,808
3197,97,6,809
3198,97,6,810
3199,97,6,811
3200,97,6,812
3201,97,6,813
3202,97,6,814
3203,97,6,815
3204,97,6,816
3205,97,6,817
3206,97,6,818
3207,97,6,819
3208,97,6,820
3209,97,6,821
3260,216,1,822
3261,216,1,823
3262,216,1,824
3263,216,1,825
3264,216,1,826
3265,216,1,827
3266,216,1,828
3267,216,1,829
3268,216,1,830
3269,216,1,831
3270,216,1,832
3271,216,1,833
3272,216,1,834
3273,216,1,835
3274,216,1,836
3275,216,1,837
3276,216,1,838
3277,216,1,839
3278,216,6,840
3279,216,6,841
3280,216,6,842
3281,216,6,843
3282,216,6,844
3283,216,6,845
3284,216,6,846
3285,216,6,847
3286,216,6,848
3287,216,6,849
3288,216,6,850
3289,97,6,851
3290,97,6,852
3291,97,6,853
3292,97,6,854
3293,97,6,855
3294,97,6,856
3295,97,6,857
3296,97,6,858
3297,97,6,859
3298,97,6,860
3299,97,6,861
3300,97,6,862
3301,97,6,863
3302,97,6,864
3303,97,6,865
3304,97,6,866
3305,97,6,867
3306,97,6,868
3307,97,6,869
3308,97,6,870
3309,97,6,871
3310,97,6,872
3311,97,6,873
3312,97,6,874
3313,97,6,875
3366,216,1,876
3367,216,1,877
3368,216,1,878
3369,216,1,879
3370,216,1,880
3371,216,1,881
3372,216,1,882
3373,216,1,883
3374,216,1,884
3375,216,1,885
3376,216,1,886
3377,216,1,887
3378,216,1,888
3379,216,1,889
3380,216,1,890
3381,216,1,891
3382,216,1,892
3383,216,1,893
3384,216,1,894
3385,216,6,895
3386,216,6,896
3387,216,6,897
3388,216,6,898
3389,216,6,899
3390,216,6,900
3391,216,6,901
3392,216,6,902
3393,216,6,903
3394,216,6,904
3395,216,6,905
3396,216,6,906
3397,97,6,907
3398,97,6,908
3399,97,6,909
3400,97,6,910
3401,97,6,911
3402,97,6,912
3403,97,6,913
3404,97,6,914
3405,97,6,915
3406,97,6,916
3407,97,6,917
3408,97,6,918
3409,97,6,919
3410,97,6,920
3411,97,6,921
3412,97,6,922
3413,97,6,923
3414,97,6,924
3415,97,6,925
3416,97,6,926
3417,97,6,927
3418,97,6,928
3419,97,6,929
