species,rep,target,shortfall,shortfall_perc,carbon_weight,scenario,country_contraint,target_met,spp
10795880421,220.03004834473754,140.77181924795724,79.2582290967803,0.5630262471579902,IC,IC,IC,yes,biodiv
10795880503,11.709874066537177,22,-10.290125933462823,-0.46773299697558285,IC,IC,IC,no,biodiv
10795880524,0.47418714855666616,22,-21.525812851443334,-0.9784460387019697,IC,IC,IC,no,biodiv
10795880608,16.601482743192395,40.56344827982253,-23.961965536630135,-0.5907280212306194,IC,IC,IC,no,biodiv
10795880610,4.7673044146498915,9.26509410716226,-4.497789692512369,-0.48545537050027493,IC,IC,IC,no,biodiv
10795880617,209.40545438935231,366.6631789058917,-157.25772451653938,-0.42888878284912646,IC,IC,IC,no,biodiv
10795880619,460.8197214506904,414.8872014731139,45.932519977576476,0.11071086265010528,IC,IC,IC,yes,biodiv
10795880625,403.38228078851415,566.2039508345787,-162.82167004606453,-0.28756717399457754,IC,IC,IC,no,biodiv
10795880701,176.4344840900789,163.68711188473307,12.74737220534584,0.07787645623757122,IC,IC,IC,yes,biodiv
10795880702,92.86194296068527,65.72082246838083,27.141120492304438,0.4129759712815888,IC,IC,IC,yes,biodiv
10795880703,60.80322982223414,22,38.80322982223414,1.7637831737379153,IC,IC,IC,yes,biodiv
10795880705,247.31615046296974,351.00274276143637,-103.68659229846662,-0.2954010885576999,IC,IC,IC,no,biodiv
10795880706,1835.9882245449173,1703.338275848056,132.64994869686143,0.07787645623757139,IC,IC,IC,yes,biodiv
10795880707,41.02945909087613,51.18017109582682,-10.150712004950691,-0.1983329048655402,IC,IC,IC,no,biodiv
10795880711,853.9637067575317,791.7800769220132,62.183629835518445,0.07853649220027452,IC,IC,IC,yes,biodiv
10795880713,44.40748147258797,60.20027602219669,-15.792794549608722,-0.26233757705339583,IC,IC,IC,no,biodiv
10795880716,360.92509008478885,314.71898738669,46.206102698098846,0.14681701629055566,IC,IC,IC,yes,biodiv
10795880717,0,0,0,NA,IC,IC,IC,yes,biodiv
10795880718,9.075066351005074,12.647075947359372,-3.572009596354299,-0.28243758566976196,IC,IC,IC,no,biodiv
10795880722,782.5632412089831,1103.5389111056272,-320.97566989664415,-0.29086031010457175,IC,IC,IC,no,biodiv
10795880724,70.01810133908342,22,48.018101339083415,2.182640969958337,IC,IC,IC,yes,biodiv
10795880725,74.98135642261296,77.22732243118816,-2.245966008575195,-0.029082531128492996,IC,IC,IC,no,biodiv
10795880726,83.06712649583825,93.2143348178514,-10.147208322013142,-0.10885888250816396,IC,IC,IC,no,biodiv
10795880909,280.53464595755037,199.33787830879075,81.19676764875962,0.40733235618661073,IC,IC,IC,yes,biodiv
10795880911,351.4144914023026,350.05200417777513,1.362487224527456,0.0038922423190455783,IC,IC,IC,yes,biodiv
10795880912,16.774236401175653,22,-5.225763598824347,-0.23753470903747032,IC,IC,IC,no,biodiv
10795880913,30.56760370681055,18.998340892231912,11.56926281457864,0.6089617446178739,IC,IC,IC,yes,biodiv
10795880916,310.91699300398756,315.71145027827464,-4.794457274287083,-0.015186200152262925,IC,IC,IC,no,biodiv
10795881105,8.521881562997143,9.222769334330213,-0.7008877713330701,-0.07599537036279687,IC,IC,IC,no,biodiv
10795881114,57.35874885295561,64.51901116986728,-7.160262316911677,-0.11097910812767972,IC,IC,IC,no,biodiv
10795881127,29.759844725238562,34.906998977024685,-5.147154251786123,-0.1474533590004088,IC,IC,IC,no,biodiv
10795881224,6.544686214806778,22,-15.455313785193223,-0.7025142629633283,IC,IC,IC,no,biodiv
11192880101,0,6.4666616087528155,-6.4666616087528155,-1,IC,IC,IC,no,biodiv
11192880103,0,38.32851609944272,-38.32851609944272,-1,IC,IC,IC,no,biodiv
11192880109,0,0,0,NA,IC,IC,IC,yes,biodiv
11192880111,0,1.31097037845565,-1.31097037845565,-1,IC,IC,IC,no,biodiv
11192880113,0,7.659199190959364,-7.659199190959364,-1,IC,IC,IC,no,biodiv
11192880116,0,10.148581548414649,-10.148581548414649,-1,IC,IC,IC,no,biodiv
11192880124,0,11.464708096300098,-11.464708096300098,-1,IC,IC,IC,no,biodiv
11192880126,0,0.29955237889899855,-0.29955237889899855,-1,IC,IC,IC,no,biodiv
11192880127,0,0,0,NA,IC,IC,IC,yes,biodiv
11192880503,0,1.9235557351227903,-1.9235557351227903,-1,IC,IC,IC,no,biodiv
11192880524,0,0,0,NA,IC,IC,IC,yes,biodiv
11192880701,0,0,0,NA,IC,IC,IC,yes,biodiv
