name,value
Denmark.DK00.CrpLnd.HiSol_CO2,18.334
Denmark.DK00.CrpLnd.HiSol_N2O,3.432
,
Estonia.EE00.GRSLND.Area,61.687
Estonia.EE00.GRSLND.HiSol_CO2,0.917
Estonia.EE00.GRSLND.HiSol_N2O,3.432
,
Estonia.EE00.CrpLnd.Area,26.384
Estonia.EE00.CrpLnd.HiSol_CO2,18.333
Estonia.EE00.CrpLnd.HiSol_N2O,3.432
,
Finland.FI13.GRSLND.Area,1.515
Finland.FI13.GRSLND.HiSol_CO2,0.917
Finland.FI13.GRSLND.HiSol_N2O,3.432
,
Finland.FI13.CrpLnd.Area,22.416
Finland.FI13.CrpLnd.HiSol_CO2,18.333
Finland.FI13.CrpLnd.HiSol_N2O,3.432
,
Finland.FI14.GRSLND.Area,0.961
Finland.FI14.GRSLND.HiSol_CO2,0.917
Finland.FI14.GRSLND.HiSol_N2O,3.432
,
Finland.FI14.CrpLnd.Area,51.701
Finland.FI14.CrpLnd.HiSol_CO2,18.333
Finland.FI14.CrpLnd.HiSol_N2O,3.432
,
Finland.FI15.GRSLND.Area,2.255
Finland.FI15.GRSLND.HiSol_CO2,0.917
Finland.FI15.GRSLND.HiSol_N2O,3.432
,
Finland.FI15.CrpLnd.Area,45.829
Finland.FI15.CrpLnd.HiSol_CO2,18.333
Finland.FI15.CrpLnd.HiSol_N2O,3.432
,
Finland.FI16.GRSLND.Area,0.041
Finland.FI16.GRSLND.HiSol_CO2,0.917
Finland.FI16.GRSLND.HiSol_N2O,3.432
,
Finland.FI16.CrpLnd.Area,4.304
Finland.FI16.CrpLnd.HiSol_CO2,18.333
Finland.FI16.CrpLnd.HiSol_N2O,3.432
,
Finland.FI17.GRSLND.Area,0.335
Finland.FI17.GRSLND.HiSol_CO2,0.917
Finland.FI17.GRSLND.HiSol_N2O,3.432
,
Finland.FI17.CrpLnd.Area,20.753
Finland.FI17.CrpLnd.HiSol_CO2,18.333
Finland.FI17.CrpLnd.HiSol_N2O,3.432
,
Finland.FI20.GRSLND.Area,0.012
Finland.FI20.GRSLND.HiSol_CO2,0.917
Finland.FI20.GRSLND.HiSol_N2O,3.432
,
Finland.FI20.CrpLnd.Area,0.269
Finland.FI20.CrpLnd.HiSol_CO2,18.333
Finland.FI20.CrpLnd.HiSol_N2O,3.432
,
France.FR10.GRSLND.Area,0.093
France.FR10.GRSLND.HiSol_CO2,6.401
France.FR10.GRSLND.HiSol_N2O,3.433
,
France.FR10.CrpLnd.Area,3.242
France.FR10.CrpLnd.HiSol_CO2,33.215
France.FR10.CrpLnd.HiSol_N2O,3.431
,
France.FR21.GRSLND.Area,1.472
France.FR21.GRSLND.HiSol_CO2,6.401
France.FR21.GRSLND.HiSol_N2O,3.429
,
