name,value
UK.UKK1.GRSLND.HiSol_CO2,1.345
UK.UKK1.GRSLND.HiSol_N2O,3.43
,
UK.UKK1.CrpLnd.Area,0.557
UK.UKK1.CrpLnd.HiSol_CO2,19.304
UK.UKK1.CrpLnd.HiSol_N2O,3.435
,
UK.UKK2.GRSLND.Area,5.439
UK.UKK2.GRSLND.HiSol_CO2,1.345
UK.UKK2.GRSLND.HiSol_N2O,3.43
,
UK.UKK2.CrpLnd.Area,0.322
UK.UKK2.CrpLnd.HiSol_CO2,19.304
UK.UKK2.CrpLnd.HiSol_N2O,3.435
,
UK.UKK3.GRSLND.Area,2.262
UK.UKK3.GRSLND.HiSol_CO2,1.345
UK.UKK3.GRSLND.HiSol_N2O,3.43
,
UK.UKK3.CrpLnd.Area,0.231
UK.UKK3.CrpLnd.HiSol_CO2,19.304
UK.UKK3.CrpLnd.HiSol_N2O,3.435
,
UK.UKK4.GRSLND.Area,5.457
UK.UKK4.GRSLND.HiSol_CO2,1.345
UK.UKK4.GRSLND.HiSol_N2O,3.43
,
UK.UKK4.CrpLnd.Area,0.357
UK.UKK4.CrpLnd.HiSol_CO2,19.304
UK.UKK4.CrpLnd.HiSol_N2O,3.435
,
UK.UKL1.GRSLND.Area,27.886
UK.UKL1.GRSLND.HiSol_CO2,1.345
UK.UKL1.GRSLND.HiSol_N2O,3.432
,
UK.UKL1.CrpLnd.Area,0.337
UK.UKL1.CrpLnd.HiSol_CO2,19.309
UK.UKL1.CrpLnd.HiSol_N2O,3.433
,
UK.UKL2.GRSLND.Area,15.009
UK.UKL2.GRSLND.HiSol_CO2,1.345
UK.UKL2.GRSLND.HiSol_N2O,3.432
,
UK.UKL2.CrpLnd.Area,0.51
UK.UKL2.CrpLnd.HiSol_CO2,19.309
UK.UKL2.CrpLnd.HiSol_N2O,3.433
,
UK.UKM1.GRSLND.Area,71.518
UK.UKM1.GRSLND.HiSol_CO2,1.345
UK.UKM1.GRSLND.HiSol_N2O,3.432
,
UK.UKM1.CrpLnd.Area,5.398
UK.UKM1.CrpLnd.HiSol_CO2,19.307
UK.UKM1.CrpLnd.HiSol_N2O,3.432
,
UK.UKM2.GRSLND.Area,264.654
UK.UKM2.GRSLND.HiSol_CO2,1.345
UK.UKM2.GRSLND.HiSol_N2O,3.432
,
UK.UKM2.CrpLnd.Area,10.219
UK.UKM2.CrpLnd.HiSol_CO2,19.307
UK.UKM2.CrpLnd.HiSol_N2O,3.432
,
UK.UKM3.GRSLND.Area,338.512
UK.UKM3.GRSLND.HiSol_CO2,1.345
UK.UKM3.GRSLND.HiSol_N2O,3.432
,
UK.UKM3.CrpLnd.Area,1.978
UK.UKM3.CrpLnd.HiSol_CO2,19.307
UK.UKM3.CrpLnd.HiSol_N2O,3.432
,
UK.UKM4.GRSLND.Area,270.055
UK.UKM4.GRSLND.HiSol_CO2,1.345
UK.UKM4.GRSLND.HiSol_N2O,3.432
,
UK.UKM4.CrpLnd.Area,1.319
UK.UKM4.CrpLnd.HiSol_CO2,19.307
UK.UKM4.CrpLnd.HiSol_N2O,3.432
,
UK.UKN0.GRSLND.Area,122.083
UK.UKN0.GRSLND.HiSol_CO2,1.345
UK.UKN0.GRSLND.HiSol_N2O,3.432
,
UK.UKN0.CrpLnd.Area,4.359
UK.UKN0.CrpLnd.HiSol_CO2,19.307
UK.UKN0.CrpLnd.HiSol_N2O,3.432
,
/,
