NUTS2,name,area_2020_f455,area_2020_ref,area_2030_ref,area_2030_f455,f455_change,ref_change,area,perc_f455_change,perc_ref_change,diff_2020
LT00,WoodlandForest_multi,713.811375,781.544125,701.7433125,354.0100625,-359.8013125,-79.8008125,6536.298302932558,-0.05504664809110265,-0.012208869424487066,67.73275000000001
HR,WoodlandForest_multi,794.31125,857.0788125,601.7721875,371.50778125,-422.80346875,-255.30662500000005,5660.363432482871,-0.07469546324952862,-0.045104281384987316,62.767562500000054
PT13,WoodlandForest_multi,161.361125,219.562359375,255.377921875,0,-161.361125,35.8155625,1334.6746564151704,-0.12089922006416387,0.02683467639686644,58.20123437500001
DEG0,WoodlandForest_multi,483.00265625,532.918625,548.697875,3.916256103515625,-479.0864001464843,15.779249999999934,1622.394111477623,-0.29529594366571527,0.009725904383139503,49.91596875000005
FR22,Cropland_high,1308.845989583557,1355.0663743281443,1366.4675179934952,1320.2471332489051,11.401143665348172,11.4011436653509,1986.3052269937566,0.005739874975108248,0.005739874975109622,46.22038474458736
PL0A,WoodlandForest_multi,201.826390625,247.544203125,246.18728125,78.4509296875,-123.3754609375,-1.3569218749999834,2030.62918563031,-0.060757257804902515,-6.682273083644235e-4,45.71781250000001
ES11,WoodlandForest_prod,975.3303125,1019.957625,820.81525,1243.471,268.1406875,-199.14237500000002,3218.480004334952,0.08331283311962258,-0.061874665908061045,44.627312500000016
SK03,WoodlandForest_multi,324.6151875,367.18046875,369.86665625,167.400171875,-157.21501562499998,2.686187500000017,1627.3462978549342,-0.0966082116831746,0.0016506551208804055,42.56528125
PL09,WoodlandForest_multi,294.256875,335.063125,341.385375,0,-294.256875,6.322249999999997,1803.1683543374108,-0.163188797259104,0.0035061895273351554,40.806250000000034
ES24,Cropland_med,175.20174973056632,213.41781519147634,0,210.73660464973634,35.534854919170016,-213.41781519147634,4972.604331278857,0.007146125561538725,-0.042918720447759705,38.216065460910016
