PUID,WoodlandForest,HeathlandShrub,Grassland,Pasture,SparseVeg,Cropland,Urban,Wetlands,RiversLakes,MarineTransitional,area,Status
27865,166.75889587402344,0,0,0,0,108.61460876464844,18,0,0,0,1e+08,N2K
27866,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27867,28.858840942382812,0,0,10.294203758239746,0,124.69954681396484,27,0,0,0,1e+08,N2K
27868,813.955810546875,0,0,450.2367858886719,0,244.22300720214844,0,0,0,0,1e+08,N2K
27869,91.14115905761719,0,1,191.79953002929688,0,175.78143310546875,36,0,0,0,1e+08,N2K
27870,173.0181427001953,0,0,76.6783676147461,0,71.52655029296875,18,0,0,0,1e+08,N2K
27871,56.14115905761719,0,0,8.153044700622559,0,21.141159057617188,14,0,0,0,1e+08,N2K
27872,119,0,0,176.29420471191406,0,72.770782470703125,24,0,0,0,1e+08,N2K
27873,4.632748126983643,0,0,42.55274963378906,0,13.141159057617188,0,0,0,0,1e+08,N2K
27874,2059.401123046875,0,0,71.717681884765625,0,249.8207550048828,67,0,154.9800567626953,0,1e+08,N2K
27875,6646.48291015625,0,0,422.2823181152344,0,2569.05517578125,89,0,14.232344627380371,0,1e+08,N2K
27876,6423.8955078125,0,0,963.67962646484375,0,2321.694580078125,35,0,0,0,1e+08,N2K
27877,6800.69384765625,0,0,1211.3779296875,0,934.6326904296875,0,0,0,0,1e+08,N2K
27878,162.9956817626953,0,0,0,0,0,0,0,0,0,1e+08,N2K
27879,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27880,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27881,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27882,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27883,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27884,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27885,0,29.420351028442383,0,0,35.26105499267578,41.47344970703125,0,0,0,17,1e+08,N2K
27886,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27887,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27888,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27889,0,34,0,17.159297943115234,19,2,17,0,0,1068.9119873046875,1e+08,N2K
27890,40.96503829956055,0,0,102.710205078125,0,147.0150146484375,23,0,0,184,1e+08,N2K
27891,6.1411590576171875,0,0,0,0,145.56463623046875,22,0,0,247.8588409423828,1e+08,N2K
27892,0,0,0,0,0,76.42034912109375,0,0,0,74.2110824584961,1e+08,N2K
27893,4,0,0,0,0,0,1,0,0,0,1e+08,N2K
27894,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27895,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27896,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27897,353.2261047363281,0,0,104.52342224121094,0,48.664581298828125,4,0,4,0,1e+08,N2K
27898,112.19425964355469,0,0,94.89692687988281,0,73.335418701171875,1,0,0,0,1e+08,N2K
27899,0,0,0,16.52655029296875,0,0,0,0,0,0,1e+08,N2K
27900,19.159297943115234,0,0,136.42034912109375,0,18,10,0,0,0,1e+08,N2K
27901,106,0,0,55,0,3,4,2,7,0,1e+08,N2K
27902,3,0,0,0,0,5,0,0,0,0,1e+08,N2K
27903,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27904,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27905,4,0,0,49.09685516357422,0,122,22.858840942382812,16.717681884765625,83,0,1e+08,N2K
27906,0,0,0,55.11553955078125,0,9,7.667708396911621,165.28231811523438,27.579648971557617,0,1e+08,N2K
27907,65,0,0,14,0,91,1.717682123184204,60.72956848144531,195.8588409423828,0,1e+08,N2K
27908,146.8588409423828,45,0,4,0,52.85884094238281,4.282317638397217,127.56463623046875,203.1411590576172,0,1e+08,N2K
27909,212.1411590576172,0,0,0,0,86.14115905761719,8,336.7057800292969,392.43536376953125,0,1e+08,N2K
27910,90,0,0,0,0,5,3,9.579648971557617,117.56463623046875,0,1e+08,N2K
27911,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27912,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27913,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27914,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27915,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27916,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27917,169.04754638671875,0,0,80.11186981201172,0,0,0,0,0,0,1e+08,N2K
27918,2189.024658203125,0,0,533.3173828125,0,86.823883056640625,43.85884094238281,0,0,0,1e+08,N2K
27919,2131.587158203125,0,0,52.52033615112305,0,206.106201171875,27.455310821533203,0,0,0,1e+08,N2K
27920,1554.0030517578125,0,0,89.5827407836914,0,461.82257080078125,5,34,0,0,1e+08,N2K
27921,502.22039794921875,0,0,29.896926879882812,0,71.92876434326172,29.946901321411133,0,24,0,1e+08,N2K
27922,2896.42822265625,0,0,150.605224609375,0,71.42034912109375,31.053098678588867,0,93.98004913330078,0,1e+08,N2K
27923,7735.3291015625,0,0,212.2841339111328,0,66.68584442138672,13,0,3.7057945728302,0,1e+08,N2K
27924,3342.41357421875,0,0,51.01188659667969,0,73.38539123535156,9,0,0,0,1e+08,N2K
27925,4664.2978515625,0,0,292.78448486328125,0,532.51715087890625,7,0,0,0,1e+08,N2K
27926,4403.8212890625,0,0,41.411590576171875,0,244.4071502685547,17,0,0,0,1e+08,N2K
27927,5490.025390625,0,0,1,0,60,111.71768188476562,0,0,0,1e+08,N2K
27928,2954.912353515625,0,0,87.57965087890625,0,95.63275146484375,63.282318115234375,0,0,0,1e+08,N2K
27929,751.57965087890625,0,0,56.893802642822266,0,54.106197357177734,1,0,0,0,1e+08,N2K
27930,135.0531005859375,0,0,14.858840942382812,0,129.36231994628906,7,0,0,0,1e+08,N2K
27931,557.29107666015625,0,0,837.85882568359375,0,1944.705810546875,31,0,0,0,1e+08,N2K
27932,1532.1326904296875,0,0,138.12301635742188,0,191.9119415283203,7,0,0,0,1e+08,N2K
27933,1764.23291015625,0,0,252.47344970703125,0,79.70579528808594,0,0,0,0,1e+08,N2K
27934,24.091184616088867,0,0,4,0,0,0,0,0,0,1e+08,N2K
