country,name,value
PL,WoodlandForest_multi,92.01940387437212
PL,WoodlandForest_prod,796.2044410233132
PT,Cropland_high,29.702678238258475
PT,Cropland_low,121.30522060771052
PT,Cropland_med,116.32694039826863
PT,Pasture_high,10.157580120365633
PT,Pasture_low,39.478508423885714
PT,WoodlandForest_multi,45.99187538762482
PT,WoodlandForest_prod,177.70018287335168
RO,Cropland_high,81.72927961083026
RO,Cropland_low,509.41410863047827
RO,Cropland_med,357.07637900524065
RO,Pasture_high,71.32674186589789
RO,Pasture_low,290.543107726587
RO,WoodlandForest_multi,212.5752513795443
RO,WoodlandForest_prod,300.72430608729155
SE,Cropland_high,21.587093626016525
SE,Cropland_low,132.64396796040822
SE,Cropland_med,82.89313648266823
SE,Pasture_high,33.483641981688635
SE,Pasture_low,7.713104256681852
